"","pre","Year","Month","lon","lat"
"1",333.899993896484,1991,"January",109.01,-7.74
"2",294.399993896484,1991,"February",109.01,-7.74
"3",213.100006103516,1991,"March",109.01,-7.74
"4",290.700012207031,1991,"April",109.01,-7.74
"5",54.2999992370605,1991,"May",109.01,-7.74
"6",26.7000007629395,1991,"June",109.01,-7.74
"7",6.59999990463257,1991,"July",109.01,-7.74
"8",0,1991,"August",109.01,-7.74
"9",1,1991,"September",109.01,-7.74
"10",143.100006103516,1991,"October",109.01,-7.74
"11",355.399993896484,1991,"November",109.01,-7.74
"12",279.200012207031,1991,"December",109.01,-7.74
"13",308.100006103516,1992,"January",109.01,-7.74
"14",284.5,1992,"February",109.01,-7.74
"15",307.300018310547,1992,"March",109.01,-7.74
"16",332.600006103516,1992,"April",109.01,-7.74
"17",269.899993896484,1992,"May",109.01,-7.74
"18",166.600006103516,1992,"June",109.01,-7.74
"19",164.699996948242,1992,"July",109.01,-7.74
"20",394.700012207031,1992,"August",109.01,-7.74
"21",273.200012207031,1992,"September",109.01,-7.74
"22",718.900024414062,1992,"October",109.01,-7.74
"23",447.700012207031,1992,"November",109.01,-7.74
"24",256.5,1992,"December",109.01,-7.74
"25",284.399993896484,1993,"January",109.01,-7.74
"26",247.199996948242,1993,"February",109.01,-7.74
"27",308.600006103516,1993,"March",109.01,-7.74
"28",276.200012207031,1993,"April",109.01,-7.74
"29",189,1993,"May",109.01,-7.74
"30",166.800003051758,1993,"June",109.01,-7.74
"31",2.60000014305115,1993,"July",109.01,-7.74
"32",87.0999984741211,1993,"August",109.01,-7.74
"33",55.6000022888184,1993,"September",109.01,-7.74
"34",106.099998474121,1993,"October",109.01,-7.74
"35",376.899993896484,1993,"November",109.01,-7.74
"36",411.899993896484,1993,"December",109.01,-7.74
"37",301.700012207031,1994,"January",109.01,-7.74
"38",200.800003051758,1994,"February",109.01,-7.74
"39",405,1994,"March",109.01,-7.74
"40",275.300018310547,1994,"April",109.01,-7.74
"41",31.6000003814697,1994,"May",109.01,-7.74
"42",30.3999996185303,1994,"June",109.01,-7.74
"43",0.600000023841858,1994,"July",109.01,-7.74
"44",0.200000002980232,1994,"August",109.01,-7.74
"45",0,1994,"September",109.01,-7.74
"46",56.6000022888184,1994,"October",109.01,-7.74
"47",253.5,1994,"November",109.01,-7.74
"48",251.199996948242,1994,"December",109.01,-7.74
"49",330.800018310547,1995,"January",109.01,-7.74
"50",406.200012207031,1995,"February",109.01,-7.74
"51",369.399993896484,1995,"March",109.01,-7.74
"52",190.600006103516,1995,"April",109.01,-7.74
"53",212.900009155273,1995,"May",109.01,-7.74
"54",343.600006103516,1995,"June",109.01,-7.74
"55",189.199996948242,1995,"July",109.01,-7.74
"56",7.70000028610229,1995,"August",109.01,-7.74
"57",13.5,1995,"September",109.01,-7.74
"58",536.900024414062,1995,"October",109.01,-7.74
"59",576,1995,"November",109.01,-7.74
"60",320.100006103516,1995,"December",109.01,-7.74
"61",260.100006103516,1996,"January",109.01,-7.74
"62",408.800018310547,1996,"February",109.01,-7.74
"63",336.5,1996,"March",109.01,-7.74
"64",134.800003051758,1996,"April",109.01,-7.74
"65",81.5,1996,"May",109.01,-7.74
"66",64.3000030517578,1996,"June",109.01,-7.74
"67",63.2000007629395,1996,"July",109.01,-7.74
"68",73.8000030517578,1996,"August",109.01,-7.74
"69",10.6999998092651,1996,"September",109.01,-7.74
"70",679.700012207031,1996,"October",109.01,-7.74
"71",477,1996,"November",109.01,-7.74
"72",314.800018310547,1996,"December",109.01,-7.74
"73",157.699996948242,1997,"January",109.01,-7.74
"74",206.600006103516,1997,"February",109.01,-7.74
"75",99.5,1997,"March",109.01,-7.74
"76",131.300003051758,1997,"April",109.01,-7.74
"77",108.300003051758,1997,"May",109.01,-7.74
"78",17.6000003814697,1997,"June",109.01,-7.74
"79",1.5,1997,"July",109.01,-7.74
"80",0,1997,"August",109.01,-7.74
"81",0.800000011920929,1997,"September",109.01,-7.74
"82",28.8999996185303,1997,"October",109.01,-7.74
"83",94.8000030517578,1997,"November",109.01,-7.74
"84",177.699996948242,1997,"December",109.01,-7.74
"85",173,1998,"January",109.01,-7.74
"86",281.800018310547,1998,"February",109.01,-7.74
"87",358.600006103516,1998,"March",109.01,-7.74
"88",382.600006103516,1998,"April",109.01,-7.74
"89",150.699996948242,1998,"May",109.01,-7.74
"90",369.800018310547,1998,"June",109.01,-7.74
"91",422.100006103516,1998,"July",109.01,-7.74
"92",213.100006103516,1998,"August",109.01,-7.74
"93",219.400009155273,1998,"September",109.01,-7.74
"94",657.200012207031,1998,"October",109.01,-7.74
"95",581.299987792969,1998,"November",109.01,-7.74
"96",325.200012207031,1998,"December",109.01,-7.74
"97",374.600006103516,1999,"January",109.01,-7.74
"98",259,1999,"February",109.01,-7.74
"99",344.399993896484,1999,"March",109.01,-7.74
"100",148,1999,"April",109.01,-7.74
"101",140.300003051758,1999,"May",109.01,-7.74
"102",122.400001525879,1999,"June",109.01,-7.74
"103",83.5,1999,"July",109.01,-7.74
"104",32.5,1999,"August",109.01,-7.74
"105",64.3000030517578,1999,"September",109.01,-7.74
"106",720.100036621094,1999,"October",109.01,-7.74
"107",456.700012207031,1999,"November",109.01,-7.74
"108",324.200012207031,1999,"December",109.01,-7.74
"109",211.900009155273,2000,"January",109.01,-7.74
"110",195.699996948242,2000,"February",109.01,-7.74
"111",219.300003051758,2000,"March",109.01,-7.74
"112",278.700012207031,2000,"April",109.01,-7.74
"113",214.600006103516,2000,"May",109.01,-7.74
"114",212.400009155273,2000,"June",109.01,-7.74
"115",77.5999984741211,2000,"July",109.01,-7.74
"116",62.4000015258789,2000,"August",109.01,-7.74
"117",130.400009155273,2000,"September",109.01,-7.74
"118",406.399993896484,2000,"October",109.01,-7.74
"119",796.700012207031,2000,"November",109.01,-7.74
"120",137.5,2000,"December",109.01,-7.74
